,id,nome,abreviacao,escudos,nome_fantasia
1,1,Outros,OUT,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Outros
1349,1349,Ipatinga,IPA,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Ipatinga
1371,1371,Cuiabá,CUI,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Cuiabá
1390,1390,Icasa,ICA,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Icasa
2190,2190,Oeste,OES,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Oeste
2193,2193,Duque de Caxias,DUQ,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Duque de Caxias
2197,2197,Americana,AME,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Americana
2554,2554,Grêmio Prudente,PRU,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Grêmio Prudente
2565,2565,Luverdense,LUV,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Luverdense
262,262,Flamengo,FLA,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2018/04/09/Flamengo-65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2018/04/09/Flamengo-45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2018/04/09/Flamengo-30.png'}",Flamengo
263,263,Botafogo,BOT,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2019/02/04/botafogo-65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2019/02/04/botafogo-45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2019/02/04/botafogo-30.png'}",Botafogo
264,264,Corinthians,COR,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2019/09/30/Corinthians_65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2019/09/30/Corinthians_45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2019/09/30/Corinthians_30.png'}",Corinthians
265,265,Bahia,BAH,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/bahia_60x60.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/bahia_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/bahia_30x30.png'}",Bahia
266,266,Fluminense,FLU,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/fluminense_60x60.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/fluminense_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2015/01/12/Fluminense-escudo.png'}",Fluminense
267,267,Vasco,VAS,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2016/07/29/Vasco-65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2016/07/29/Vasco-45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2016/07/29/Vasco-30.png'}",Vasco
275,275,Palmeiras,PAL,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/palmeiras_60x60.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/palmeiras_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/palmeiras_30x30.png'}",Palmeiras
276,276,São Paulo,SAO,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/sao_paulo_60x60.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/sao_paulo_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/sao_paulo_30x30.png'}",São Paulo
277,277,Santos,SAN,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_60x60.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/santos_30x30.png'}",Santos
278,278,Portuguesa,POR,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Portuguesa
279,279,Guarani,GUA,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Guarani
280,280,Bragantino,BGT,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2020/01/01/65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2020/01/01/45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2020/01/01/30.png'}",Bragantino
282,282,Atlético-MG,ATL,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2017/11/23/Atletico-Mineiro-escudo65px.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2017/11/23/Atletico-Mineiro-escudo45px.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2017/11/23/Atletico-Mineiro-escudo30px.png'}",Atlético-MG
283,283,Cruzeiro,CRU,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Cruzeiro
284,284,Grêmio,GRE,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/gremio_60x60.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/gremio_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2014/04/14/gremio_30x30.png'}",Grêmio
285,285,Internacional,INT,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2016/05/03/inter65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2016/05/03/inter45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2016/05/03/inter30.png'}",Internacional
286,286,Juventude,JUV,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'}",Juventude
